id;name;year_name;has_production;price_start;price_end;has_price
1;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;true;97661;50267;false
2;Home;Investor Public-key;false;53093;48945;false
3;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;false;47030;63230;true
4;deliver bypassing;hacking installation magenta;false;85835;59089;false
5;red firewall open-source;deposit Sausages;true;39757;38673;true
6;hacking Forint bandwidth;Global;true;69578;25794;false
7;Bacon Designer;Equatorial Guinea Vision-oriented;false;96541;89721;true
8;THX pink even-keeled;bus Internal AI;true;88777;64203;true
9;Marketing;Dynamic Home Loan Account Tools;false;94013;66350;true
10;clear-thinking;Latvia;true;44842;65196;true
